run_name,features,entity_embed_dim,ci_dropout_rate,ci_dropout_mode,lr,weight_decay,hidden_dim,num_layers,dropout,seed,knn_edges,knn_scope,input_dim,best_epoch,epochs_trained,best_val_loss,seen_ndcg1,unseen_ndcg1,all_ndcg1,seen_map,unseen_map,all_map,seen_mrr,unseen_mrr,all_mrr,seen_unseen_gap
concat_embed128_drop0p5_embedding_lr0p0005_wd0p0001_h128_l2_do0p3_s123_knn0a,concat,128,0.5,embedding,0.0005,0.0001,128,2,0.3,123,0,all,768,30,40,1.5523336926458955,0.6894040427813367,0.14285714285714285,0.5987196894101992,0.6210448446362572,0.10378722407474056,0.5352202377206912,0.9682954736987368,0.18981413774544262,0.8391280105364417,0.5465468999241938
concat_embed32_drop0p5_embedding_lr0p0005_wd0p0001_h128_l2_do0p3_s3_knn0a,concat,32,0.5,embedding,0.0005,0.0001,128,2,0.3,3,0,all,768,36,46,1.541329772713749,0.6787544781779008,0.14285714285714285,0.5898371257354681,0.5771158258953839,0.10620824138268019,0.49898172650698264,0.9622285909133533,0.19473515169451547,0.8348842655465727,0.5358973353207579
concat_embed32_drop0p5_embedding_lr0p0005_wd0p0001_h128_l2_do0p3_s1_knn0a,concat,32,0.5,embedding,0.0005,0.0001,128,2,0.3,1,0,all,768,45,55,1.5336556670537957,0.6912868387333232,0.1414768806073154,0.600061071033269,0.5713875510296458,0.10689004574433254,0.49431702713654846,0.9618647659665076,0.1904697511618735,0.8338730819573567,0.5498099581260079
concat_embed64_drop0p5_embedding_lr0p0005_wd0p0001_h128_l2_do0p3_s42_knn0a,concat,64,0.5,embedding,0.0005,0.0001,128,2,0.3,42,0,all,768,39,49,1.5499641443685932,0.6857757380821927,0.13871635610766045,0.595006352478038,0.5994543969287078,0.10449708646717207,0.5173299101705761,0.9646798400533937,0.18839979938205828,0.8358776210069303,0.5470593819745323
concat_embed64_drop0p5_embedding_lr0p0005_wd0p0001_h128_l2_do0p3_s2_knn0a,concat,64,0.5,embedding,0.0005,0.0001,128,2,0.3,2,0,all,768,32,42,1.5401376907944515,0.6948759185168039,0.13802622498274672,0.6024821012797903,0.6188186898078897,0.11362487967148997,0.5349957388302595,0.9654059519875895,0.19522684924829029,0.8376160149820652,0.5568496935340571
concat_embed128_drop0p5_embedding_lr0p0005_wd0p0001_h128_l2_do0p3_s2_knn0a,concat,128,0.5,embedding,0.0005,0.0001,128,2,0.3,2,0,all,768,26,36,1.5496596713378459,0.6905742527653856,0.137336093857833,0.5987796698892796,0.6260522116855353,0.10173054002215248,0.5390555207156232,0.9686347546904565,0.18886055359091905,0.8392527762874759,0.5532381589075527
concat_embed64_drop0p5_embedding_lr0p0005_wd0p0001_h128_l2_do0p3_s123_knn0a,concat,64,0.5,embedding,0.0005,0.0001,128,2,0.3,123,0,all,768,28,38,1.549743447345274,0.6894236552391692,0.13664596273291926,0.5977054740366566,0.6197106537000088,0.10985242707087813,0.5351137717137945,0.9663346245292871,0.1901860930107282,0.8375542257922675,0.5527776925062499
concat_embed128_drop0p5_embedding_lr0p0005_wd0p0001_h128_l2_do0p3_s3_knn0a,concat,128,0.5,embedding,0.0005,0.0001,128,2,0.3,3,0,all,768,23,33,1.5483275624081676,0.6874362595120697,0.13526570048309178,0.5958188153310351,0.6256531263484691,0.10456031042608965,0.5391921747543402,0.9666797884808912,0.18578051709023854,0.8371111357561624,0.5521705590289778
concat_embed64_drop0p5_embedding_lr0p0005_wd0p0001_h128_l2_do0p3_s3_knn0a,concat,64,0.5,embedding,0.0005,0.0001,128,2,0.3,3,0,all,768,31,41,1.5396286521654745,0.6896067048456125,0.13526570048309178,0.5976291352450998,0.6214409489066125,0.10830513551028471,0.5363002419775758,0.9648604450020493,0.18541652153490099,0.835533267044429,0.5543410043625208
concat_embed32_drop0p5_embedding_lr0p0005_wd0p0001_h128_l2_do0p3_s123_knn0a,concat,32,0.5,embedding,0.0005,0.0001,128,2,0.3,123,0,all,768,39,49,1.538851629415347,0.6841282916242016,0.1331953071083506,0.5927161887313291,0.579792060661216,0.10520879559617206,0.501048083668287,0.9650409210857277,0.19032054213794727,0.8364974847986174,0.550932984515851
concat_embed32_drop0p5_embedding_lr0p0005_wd0p0001_h128_l2_do0p3_s2_knn0a,concat,32,0.5,embedding,0.0005,0.0001,128,2,0.3,2,0,all,768,37,47,1.5402893144714138,0.6833568682827605,0.1318150448585231,0.591843745399249,0.5874027366382271,0.10682579102198936,0.5076642740024858,0.9607203578631003,0.18619245559125444,0.8322088577609699,0.5515418234242374
concat_embed64_drop0p5_embedding_lr0p0005_wd0p0001_h128_l2_do0p3_s1_knn0a,concat,64,0.5,embedding,0.0005,0.0001,128,2,0.3,1,0,all,768,29,39,1.5588982245051637,0.6880703956486786,0.13043478260869565,0.5955461767897616,0.6162879118887734,0.10473333568483953,0.5314095675718719,0.9660536976383538,0.18333370205788466,0.836182946052862,0.5576356130399829
