run_name,features,entity_embed_dim,ci_dropout_rate,ci_dropout_mode,lr,weight_decay,hidden_dim,num_layers,dropout,seed,input_dim,best_epoch,epochs_trained,best_val_loss,seen_ndcg1,unseen_ndcg1,all_ndcg1,seen_map,unseen_map,all_map,seen_mrr,unseen_mrr,all_mrr,seen_unseen_gap
concat_embed64_drop0p7_embedding_lr0p0005_wd0p0001_h128_l2_do0p3_s2,concat,64,0.7,embedding,0.0005,0.0001,128,2,0.3,2,768,45,55,1.538528500649561,0.6859587876886344,0.34723454599231035,0.6297568609489181,0.3846252465775878,0.29354477188692174,0.369512881607384,0.9665540442463042,0.48027092957603396,0.8858137073866216,0.33872424169632404
concat_embed64_drop0p7_embedding_lr0p0005_wd0p0001_h128_l2_do0p3_s123,concat,64,0.7,embedding,0.0005,0.0001,128,2,0.3,123,768,34,44,1.540238506685852,0.6853900264114705,0.34713595583160833,0.6292006783247173,0.39460688560223783,0.286417872061468,0.37665589632609436,0.9676471041725644,0.49047487589334765,0.8884735628200928,0.3382540705798622
concat_embed64_drop0p5_embedding_lr0p0005_wd0p0001_h128_l2_do0p3_s1,concat,64,0.5,embedding,0.0005,0.0001,128,2,0.3,1,768,34,44,1.5425952380805512,0.6876454590622914,0.34486838213546345,0.6307710763224605,0.3992840884635463,0.2955409329023943,0.3820707842907981,0.9713529996200418,0.5005781168784039,0.8932409184231297,0.3427770769268279
concat_embed64_drop0p7_embedding_lr0p0005_wd0p0001_h128_l2_do0p3_s1,concat,64,0.7,embedding,0.0005,0.0001,128,2,0.3,1,768,42,52,1.5488652694241694,0.6784276038806792,0.33865720201123956,0.6220520957724943,0.38542539876504084,0.28408113683843733,0.3686101467999298,0.9683478030913242,0.48286976226620254,0.8877961391550363,0.3397704018694397
concat_embed64_drop0p5_embedding_lr0p0005_wd0p0001_h128_l2_do0p3_s123,concat,64,0.5,embedding,0.0005,0.0001,128,2,0.3,123,768,28,38,1.5476649548556354,0.6938822206532536,0.33747412008281613,0.6348115795041518,0.39946704878016726,0.28232668216855394,0.3800308472424996,0.9720948607110168,0.47917171586981466,0.8903078875202574,0.3564081005704374
concat_embed64_drop0p5_embedding_lr0p0005_wd0p0001_h128_l2_do0p3_s42,concat,64,0.5,embedding,0.0005,0.0001,128,2,0.3,42,768,33,43,1.551544170340321,0.6848016526764753,0.335502316868777,0.626845081328105,0.3878807998490643,0.28214845778926456,0.3703374440805736,0.9710864776190908,0.4923373493088852,0.8916512907507192,0.3492993358076983
concat_embed64_drop0p7_embedding_lr0p0005_wd0p0001_h128_l2_do0p3_s3,concat,64,0.7,embedding,0.0005,0.0001,128,2,0.3,3,768,31,41,1.546018333758338,0.6869786354959614,0.33402346445824743,0.6284154793258465,0.39466315375761857,0.28706285539648285,0.37680985834836755,0.9693234142550032,0.47975539361332364,0.8880931312010935,0.35295517103771396
concat_embed64_drop0p5_embedding_lr0p0005_wd0p0001_h128_l2_do0p3_s2,concat,64,0.5,embedding,0.0005,0.0001,128,2,0.3,2,768,32,42,1.541452566910052,0.6958434664365756,0.3293897269052552,0.6354986286281649,0.3944886283165738,0.2922215149931662,0.3775206831583096,0.9722910982460281,0.47932283206162823,0.8908112345932006,0.3664537395313204
concat_embed64_drop0p7_embedding_lr0p0005_wd0p0001_h128_l2_do0p3_s42,concat,64,0.7,embedding,0.0005,0.0001,128,2,0.3,42,768,25,35,1.5490493644446994,0.6862268246123548,0.32820664497683183,0.6267578369948965,0.3893831480910961,0.2877479393587746,0.3725195860476637,0.9677206991726459,0.4834420032647459,0.8873680333796141,0.358020179635523
concat_embed64_drop0p5_embedding_lr0p0005_wd0p0001_h128_l2_do0p3_s3,concat,64,0.5,embedding,0.0005,0.0001,128,2,0.3,3,768,31,41,1.541338902354186,0.6917771501791555,0.3281080548161296,0.6314363143631709,0.40102646504535766,0.28143972307486903,0.3811843540501366,0.9709885925074905,0.470015871766678,0.8878660146587058,0.36366909536302594
