run_name,features,entity_embed_dim,ci_dropout_rate,ci_dropout_mode,lr,weight_decay,hidden_dim,num_layers,dropout,seed,knn_edges,knn_scope,input_dim,best_epoch,epochs_trained,best_val_loss,seen_ndcg1,unseen_ndcg1,all_ndcg1,seen_map,unseen_map,all_map,seen_mrr,unseen_mrr,all_mrr,seen_unseen_gap
concat_embed64_drop0p7_embedding_lr0p0005_wd0p0001_h128_l2_do0p3_s123_knn0a,concat,64,0.7,embedding,0.0005,0.0001,128,2,0.3,123,0,all,768,34,44,1.5431016130945412,0.6842394288852562,0.14837819185645273,0.5953280659567409,0.594237561373143,0.11369506266707287,0.5145048142501502,0.961240356918121,0.20269447782094072,0.8353806318738276,0.5358612370288035
concat_embed64_drop0p7_embedding_lr0p0005_wd0p0001_h128_l2_do0p3_s1_knn0a,concat,64,0.7,embedding,0.0005,0.0001,128,2,0.3,1,0,all,768,42,52,1.5501333703374405,0.6801796501137795,0.14285714285714285,0.5910258297754253,0.5773081621718849,0.10509295877991413,0.4989570995685451,0.9614963989776484,0.19328564200055898,0.8340330545530746,0.5373225072566366
concat_embed64_drop0p5_embedding_lr0p0005_wd0p0001_h128_l2_do0p3_s1_knn0a,concat,64,0.5,embedding,0.0005,0.0001,128,2,0.3,1,0,all,768,34,44,1.5467010229157026,0.6892406056327265,0.14009661835748793,0.5981253373902201,0.6076212707221335,0.10839738053777699,0.5247888629725478,0.965723472467355,0.19049472261777076,0.8370956860787087,0.5491439872752386
concat_embed64_drop0p5_embedding_lr0p0005_wd0p0001_h128_l2_do0p3_s123_knn0a,concat,64,0.5,embedding,0.0005,0.0001,128,2,0.3,123,0,all,768,40,50,1.5485458652524298,0.691907899898043,0.137336093857833,0.5998920351376795,0.6027548843533672,0.10634913436782906,0.5203900690861,0.9675353822827039,0.18800384373445447,0.8381936670237535,0.5545718060402101
concat_embed64_drop0p7_embedding_lr0p0005_wd0p0001_h128_l2_do0p3_s42_knn0a,concat,64,0.7,embedding,0.0005,0.0001,128,2,0.3,42,0,all,768,39,49,1.541285734410358,0.6843636411182005,0.13595583160800553,0.5933705212303889,0.5887551079979592,0.10819086990127268,0.5090187538238954,0.9623582820695014,0.18369742125612964,0.8331610317181244,0.548407809510195
concat_embed64_drop0p5_embedding_lr0p0005_wd0p0001_h128_l2_do0p3_s3_knn0a,concat,64,0.5,embedding,0.0005,0.0001,128,2,0.3,3,0,all,768,31,41,1.5385368142278708,0.6907769148296616,0.13457556935817805,0.5984906730355283,0.6198448691345385,0.10823094686994512,0.5349566779789912,0.9649018813839123,0.18451812958970926,0.8354187648890308,0.5562013454714836
concat_embed64_drop0p5_embedding_lr0p0005_wd0p0001_h128_l2_do0p3_s2_knn0a,concat,64,0.5,embedding,0.0005,0.0001,128,2,0.3,2,0,all,768,32,42,1.5417078774400224,0.691110326612826,0.13388543823326432,0.5986542561602927,0.618633115665427,0.11287056206667954,0.5347157974283281,0.9642726244261608,0.19081816543836222,0.835939232570748,0.5572248883795616
concat_embed64_drop0p7_embedding_lr0p0005_wd0p0001_h128_l2_do0p3_s2_knn0a,concat,64,0.7,embedding,0.0005,0.0001,128,2,0.3,2,0,all,768,45,55,1.5373096705793625,0.6864817865641868,0.13388543823326432,0.594793694415842,0.5742505511293917,0.11344474473554551,0.49779256264150856,0.959799231744946,0.1894735915199501,0.831984980893461,0.5525963483309224
concat_embed64_drop0p5_embedding_lr0p0005_wd0p0001_h128_l2_do0p3_s42_knn0a,concat,64,0.5,embedding,0.0005,0.0001,128,2,0.3,42,0,all,768,34,44,1.550890807050442,0.6884887947491201,0.13250517598343686,0.596238678684599,0.609383400934058,0.10954522997027215,0.526449070265728,0.9639443632045152,0.18971768131611205,0.8354828423003247,0.5559836187656833
concat_embed64_drop0p7_embedding_lr0p0005_wd0p0001_h128_l2_do0p3_s3_knn0a,concat,64,0.7,embedding,0.0005,0.0001,128,2,0.3,3,0,all,768,44,54,1.5437844090105686,0.6888352815041725,0.12560386473429952,0.5953825936649956,0.5794158783246595,0.10620874066695069,0.5009002316435623,0.9612289484133932,0.1840550216627894,0.8322784136760034,0.563231416769873
