run_name,features,entity_embed_dim,ci_dropout_rate,ci_dropout_mode,lr,weight_decay,hidden_dim,num_layers,dropout,seed,knn_edges,knn_scope,input_dim,best_epoch,epochs_trained,best_val_loss,seen_ndcg1,unseen_ndcg1,all_ndcg1,seen_map,unseen_map,all_map,seen_mrr,unseen_mrr,all_mrr,seen_unseen_gap
concat_embed64_drop0p5_embedding_lr0p0005_h256_l2_do0p5_s123_knn0a,concat,64,0.5,embedding,0.0005,0.0001,256,2,0.5,123,0,all,768,28,38,1.5247733750258134,0.43688711069271224,0.22981366459627328,0.4025289951088649,0.31257321735803767,0.13945012692100411,0.2838479246459924,0.5620719409706593,0.31872043571388564,0.5216944840695867,0.20707344609643896
concat_embed64_drop0p5_embedding_lr0p0005_h256_l2_do0p1_s123_knn0a,concat,64,0.5,embedding,0.0005,0.0001,256,2,0.1,123,0,all,768,16,26,1.5743050096344084,0.4313563975837455,0.22176213480561305,0.39658002213824994,0.32665381512515407,0.14597669931772447,0.29667543443311856,0.5577184335885318,0.32425384206088237,0.518981485447395,0.20959426277813245
concat_embed64_drop0p5_embedding_lr0p0005_h256_l2_do0p1_s1_knn0a,concat,64,0.5,embedding,0.0005,0.0001,256,2,0.1,1,0,all,768,24,34,1.5594765041270935,0.4294932140895899,0.2203818725557856,0.39479696607831294,0.3237059503980092,0.1389558415046096,0.2930517883312987,0.5563183424020609,0.3120307952994327,0.5157855752256372,0.2091113415338043
concat_embed64_drop0p5_embedding_lr0p0005_h64_l2_do0p1_s42_knn0a,concat,64,0.5,embedding,0.0005,0.0001,64,2,0.1,42,0,all,768,34,44,1.5653345851902563,0.4281595669569313,0.2196917414308718,0.39345558445524126,0.31060100242807515,0.13637291211174069,0.28160099362964414,0.5560665173233068,0.3241003773299284,0.5174865405855987,0.2084678255260595
concat_embed64_drop0p5_embedding_lr0p0005_h256_l2_do0p3_s123_knn0a,concat,64,0.5,embedding,0.0005,0.0001,256,2,0.3,123,0,all,768,16,26,1.5485362959082827,0.4291009649329257,0.21785139176443524,0.3940499364752202,0.3229174005106699,0.14593612025857444,0.2935522802244184,0.5560789794675417,0.31469899805349333,0.5160286424620504,0.21124957316849047
concat_embed64_drop0p5_embedding_lr0p0005_h256_l2_do0p5_s1_knn0a,concat,64,0.5,embedding,0.0005,0.0001,256,2,0.5,1,0,all,768,24,34,1.5365649281539777,0.42880677806542744,0.2148608235564757,0.3933083596429528,0.3184451000528493,0.1385828187821985,0.28860255505016236,0.5555310127190899,0.3075499609098112,0.5143854105015707,0.21394595450895174
concat_embed64_drop0p5_embedding_lr0p0005_h256_l2_do0p1_s42_knn0a,concat,64,0.5,embedding,0.0005,0.0001,256,2,0.1,42,0,all,768,15,25,1.5663121445595098,0.4345532282105595,0.21371060501495281,0.3979104982196706,0.31130400746433684,0.14318048381922727,0.2834082877731815,0.5601878786587474,0.3137550464974954,0.5192991533275001,0.22084262319560666
concat_embed64_drop0p5_embedding_lr0p0005_h256_l2_do0p3_s42_knn0a,concat,64,0.5,embedding,0.0005,0.0001,256,2,0.3,42,0,all,768,23,33,1.5410837712661423,0.43988781674119426,0.21325051759834365,0.4022836204217176,0.31372910873658344,0.1383338102479266,0.2846270851385028,0.5635009178155028,0.309191300820709,0.52130526511592,0.2266372991428506
concat_embed64_drop0p5_embedding_lr0p0005_h256_l2_do0p3_s1_knn0a,concat,64,0.5,embedding,0.0005,0.0001,256,2,0.3,1,0,all,768,24,34,1.5346882940703885,0.4241978504746218,0.21141016793190706,0.3887771070869665,0.3207109864352695,0.13462181778088028,0.2897431261726579,0.553416858921078,0.30945512498938044,0.5128465448861494,0.2127876825427147
concat_embed64_drop0p5_embedding_lr0p0005_h128_l2_do0p1_s42_knn0a,concat,64,0.5,embedding,0.0005,0.0001,128,2,0.1,42,0,all,768,24,34,1.57405042468109,0.42827724170393056,0.20910973084886128,0.39179794212429075,0.311210192469862,0.13636444779076692,0.28210748831815585,0.5564899067257049,0.3029949807808118,0.5143376819238358,0.21916751085506928
