run_name,features,entity_embed_dim,ci_dropout_rate,ci_dropout_mode,lr,weight_decay,hidden_dim,num_layers,dropout,seed,knn_edges,knn_scope,input_dim,best_epoch,epochs_trained,best_val_loss,seen_ndcg1,unseen_ndcg1,all_ndcg1,seen_map,unseen_map,all_map,seen_mrr,unseen_mrr,all_mrr,seen_unseen_gap
concat_embed64_drop0p5_embedding_lr0p001_h256_l2_do0p1_s123_knn0a,concat,64,0.5,embedding,0.001,0.0001,256,2,0.1,123,0,all,768,11,21,1.5826753588701354,0.4267866949086062,0.24246606855302505,0.3962037809512907,0.3291794164562327,0.14691089864864545,0.2989368351632531,0.5578650443404163,0.3360154705649178,0.521051415553028,0.18432062635558116
concat_embed64_drop0p5_embedding_lr0p001_h256_l2_do0p1_s42_knn0a,concat,64,0.5,embedding,0.001,0.0001,256,2,0.1,42,0,all,768,10,20,1.5633718183266696,0.43516121440338906,0.23027375201288242,0.401165802402491,0.3112836272860376,0.13718265625802897,0.2824308782173464,0.5598288495264517,0.3316736046378934,0.5220071445174606,0.20488746239050665
concat_embed64_drop0p5_embedding_lr0p0005_wd0p001_h256_l2_do0p1_s123_knn0a,concat,64,0.5,embedding,0.0005,0.001,256,2,0.1,123,0,all,768,16,26,1.5762990148472666,0.4315329097042447,0.22797331492983666,0.39775782063655707,0.3269974099111092,0.14693022897960709,0.29712018681864044,0.5592976160688744,0.32658667148716636,0.5206856661434313,0.20355959477440802
concat_embed64_drop0p5_embedding_lr0p0005_wd0p001_h256_l2_do0p1_s1_knn0a,concat,64,0.5,embedding,0.0005,0.001,256,2,0.1,1,0,all,768,24,34,1.5607436352566848,0.42816610444287573,0.22728318380492293,0.39472062728675605,0.32170676852157276,0.1366359863686698,0.29091320049954045,0.5562568015394044,0.3137155700049907,0.515927906028885,0.2008829206379528
concat_embed64_drop0p5_embedding_lr0p0003_wd0p0005_h256_l2_do0p1_s123_knn0a,concat,64,0.5,embedding,0.0003,0.0005,256,2,0.1,123,0,all,768,16,26,1.5768007830201733,0.42104024476347396,0.22613296526340007,0.38881527648274494,0.32424615720690303,0.15043369087320138,0.29549770062994707,0.5528963995434736,0.3266489707653095,0.5154477639593708,0.1949072795000739
concat_embed64_drop0p5_embedding_lr0p0005_h256_l2_do0p1_s1_knn0a,concat,64,0.5,embedding,0.0005,0.0001,256,2,0.1,1,0,all,768,24,34,1.5586147432309796,0.42829685416176383,0.22521279043018172,0.3946006663285952,0.32261987877065856,0.13690628956388545,0.2918402953593469,0.5551971444788062,0.31131598306938746,0.5147661582332722,0.2030840637315821
concat_embed64_drop0p5_embedding_lr0p0003_h256_l2_do0p1_s1_knn0a,concat,64,0.5,embedding,0.0003,0.0001,256,2,0.1,1,0,all,768,24,34,1.5586469161963714,0.42649250804110794,0.224522659305268,0.39286668520608764,0.3250710515236604,0.1466547484614278,0.29537622951959513,0.5537846599559016,0.32791625383500683,0.516196481449842,0.20196984873583995
concat_embed64_drop0p5_embedding_lr0p001_wd0p0005_h256_l2_do0p1_s123_knn0a,concat,64,0.5,embedding,0.001,0.0005,256,2,0.1,123,0,all,768,11,21,1.583937480806813,0.42970895112575525,0.22314239705544053,0.39554944845223133,0.32727246297247536,0.14295528752984593,0.2967813736100707,0.5580607304420999,0.32015649203825575,0.5186787034814712,0.2065665540703147
concat_embed64_drop0p5_embedding_lr0p0005_wd0p0005_h256_l2_do0p1_s1_knn0a,concat,64,0.5,embedding,0.0005,0.0005,256,2,0.1,1,0,all,768,24,34,1.5593571037095018,0.42900290264375956,0.22245226593052678,0.394731532828407,0.3212176102158282,0.1365825430647826,0.29058222318237775,0.5571338782490636,0.31267366347241116,0.5165724616440746,0.2065506367132328
concat_embed64_drop0p5_embedding_lr0p0003_wd0p001_h256_l2_do0p1_s123_knn0a,concat,64,0.5,embedding,0.0003,0.001,256,2,0.1,123,0,all,768,16,26,1.5768495637563407,0.42280536596846346,0.22130204738900391,0.389485967294281,0.324120700099342,0.15080399001703168,0.29536402633777076,0.553898214170825,0.33188614101133646,0.517118700371661,0.20150331857945955
concat_embed64_drop0p5_embedding_lr0p0003_wd0p001_h256_l2_do0p1_s1_knn0a,concat,64,0.5,embedding,0.0003,0.001,256,2,0.1,1,0,all,768,24,34,1.5600983269761803,0.42702204440260483,0.22061191626409019,0.39277398810205433,0.31973736865584906,0.13910648225640113,0.2897666460550492,0.5548485459085556,0.3192192138980029,0.5157523702434588,0.20641012813851464
concat_embed64_drop0p5_embedding_lr0p0003_wd0p001_h256_l2_do0p1_s3_knn0a,concat,64,0.5,embedding,0.0003,0.001,256,2,0.1,3,0,all,768,24,34,1.5632584034386328,0.4291009649329255,0.21923165401426273,0.3942789528498908,0.3160849397247917,0.14289356905917983,0.2873486730476352,0.5568769146930388,0.3143086665767557,0.5166294176679049,0.20986931091866276
concat_embed64_drop0p5_embedding_lr0p0003_h256_l2_do0p1_s42_knn0a,concat,64,0.5,embedding,0.0003,0.0001,256,2,0.1,42,0,all,768,33,43,1.56764363712856,0.43902486859653267,0.21785139176443521,0.4023272425883216,0.31687952449913565,0.13965804971508344,0.287474500280207,0.5631993902473158,0.3115171511787149,0.5214396783029208,0.22117347683209745
concat_embed64_drop0p5_embedding_lr0p0005_wd0p0005_h256_l2_do0p1_s123_knn0a,concat,64,0.5,embedding,0.0005,0.0005,256,2,0.1,123,0,all,768,16,26,1.5727078309585565,0.4314544598729116,0.2162410858063032,0.3957457482019492,0.3276884172987112,0.14686869888235154,0.29769235673548017,0.5582832570035301,0.31842371725256136,0.5184909206814471,0.2152133740666084
concat_embed64_drop0p5_embedding_lr0p001_wd0p001_h256_l2_do0p1_s1_knn0a,concat,64,0.5,embedding,0.001,0.001,256,2,0.1,1,0,all,768,9,19,1.5808784719786948,0.43720744750398827,0.2162410858063032,0.40054418652838475,0.32031127608190885,0.14178261013422286,0.29068872384217814,0.5619696652210775,0.3095744292448214,0.5200916511446324,0.22096636169768508
concat_embed64_drop0p5_embedding_lr0p001_h256_l2_do0p1_s3_knn0a,concat,64,0.5,embedding,0.001,0.0001,256,2,0.1,3,0,all,768,13,23,1.5689721819025302,0.43004890039486426,0.21578099838969406,0.39449706368291065,0.3263999504504685,0.13608077997899176,0.2948217401968529,0.5557720526079223,0.30563373763907714,0.5142683052212896,0.2142679020051702
concat_embed64_drop0p5_embedding_lr0p001_wd0p0005_h256_l2_do0p1_s2_knn0a,concat,64,0.5,embedding,0.001,0.0005,256,2,0.1,2,0,all,768,7,17,1.575548678595595,0.43273580711801485,0.2148608235564757,0.39669998309641064,0.32082184926195156,0.1451810497080093,0.2917707301907109,0.5569151532517393,0.3066409577043645,0.515478120825951,0.21787498356153914
concat_embed64_drop0p5_embedding_lr0p0003_wd0p0005_h256_l2_do0p1_s3_knn0a,concat,64,0.5,embedding,0.0003,0.0005,256,2,0.1,3,0,all,768,29,39,1.5634026712525946,0.43182709657174245,0.21440073613986654,0.39575120097277444,0.3180116190997519,0.14237163863624255,0.2888691630379372,0.5581887937501451,0.3090785477068791,0.5168558329672878,0.2174263604318759
concat_embed64_drop0p5_embedding_lr0p0005_h256_l2_do0p1_s123_knn0a,concat,64,0.5,embedding,0.0005,0.0001,256,2,0.1,123,0,all,768,16,26,1.5743640555846161,0.43047383698125097,0.21417069243156198,0.39458430801611893,0.3276464124676336,0.14721035511555386,0.2976173087284867,0.5579714101263866,0.31901484698353755,0.5182888199518775,0.216303144549689
concat_embed64_drop0p5_embedding_lr0p0003_wd0p0005_h256_l2_do0p1_s1_knn0a,concat,64,0.5,embedding,0.0003,0.0005,256,2,0.1,1,0,all,768,24,34,1.5599659821662781,0.4252373107397821,0.21371060501495284,0.3900257916060048,0.3210653977513296,0.14012757535946885,0.2909525110605484,0.5534323478968718,0.31476141451415884,0.5137400474594243,0.21152670572482926
concat_embed64_drop0p5_embedding_lr0p0005_wd0p0005_h256_l2_do0p1_s2_knn0a,concat,64,0.5,embedding,0.0005,0.0005,256,2,0.1,2,0,all,768,17,27,1.5677817559165796,0.43069611150336035,0.21325051759834365,0.394502516453736,0.31685328930960177,0.138065696728749,0.28713114891393104,0.5568170536636071,0.31259657722069983,0.5162381609158947,0.2174455939050167
concat_embed64_drop0p5_embedding_lr0p001_wd0p001_h256_l2_do0p1_s123_knn0a,concat,64,0.5,embedding,0.001,0.001,256,2,0.1,123,0,all,768,10,20,1.5867782492622344,0.43031693731858495,0.21302047389003909,0.3941480863500791,0.3300973293420858,0.1468690854888841,0.29960391590601904,0.5586287834910254,0.31984362384256343,0.5189135619561629,0.21729646342854586
concat_embed64_drop0p5_embedding_lr0p001_wd0p001_h256_l2_do0p1_s2_knn0a,concat,64,0.5,embedding,0.001,0.001,256,2,0.1,2,0,all,768,7,17,1.5742860304561166,0.43391255458800776,0.21302047389003909,0.39737612667877203,0.3204799654652726,0.14375843446155162,0.2911586559193344,0.5585307617242132,0.3101420525278469,0.5173709571943991,0.22089208069796867
concat_embed64_drop0p5_embedding_lr0p0005_h256_l2_do0p1_s42_knn0a,concat,64,0.5,embedding,0.0005,0.0001,256,2,0.1,42,0,all,768,15,25,1.5670364976093085,0.4349847022828903,0.21233034276512536,0.39792685653214716,0.31243915183881615,0.14414206639758978,0.284514601723728,0.5592513218836404,0.31129085637951015,0.5180518813116164,0.22265435951776497
