run_name,features,entity_embed_dim,ci_dropout_rate,ci_dropout_mode,lr,weight_decay,hidden_dim,num_layers,dropout,triplet_weight,triplet_margin,seed,knn_edges,knn_scope,input_dim,best_epoch,epochs_trained,best_val_loss,seen_ndcg1,unseen_ndcg1,all_ndcg1,seen_map,unseen_map,all_map,seen_mrr,unseen_mrr,all_mrr,seen_unseen_gap
concat_embed64_drop0p5_embedding_lr0p0005_h256_l2_do0p1_s123_knn0a_tw0p7_tm0p2,concat,64,0.5,embedding,0.0005,0.0001,256,2,0.1,0.7,0.2,123,0,all,768,12,22,0.6243786682680665,0.42002039695614674,0.22590292155509545,0.38758295027618317,0.31131245856917333,0.13765192580665586,0.28243903812563725,0.5507020997256802,0.33098493767536374,0.5141122433842217,0.1941174754010513
concat_embed64_drop0p5_embedding_lr0p0005_h256_l2_do0p1_s123_knn0a,concat,64,0.5,embedding,0.0005,0.0001,256,2,0.1,0.0,0.2,123,0,all,768,16,26,1.5744008739443476,0.430120812740253,0.22176213480561305,0.39554944845223144,0.3267700543164709,0.14688470725122527,0.2969575362561409,0.5569063938133137,0.3284882332008596,0.5190410652060257,0.20835867793463994
concat_embed64_drop0p5_embedding_lr0p0005_h256_l2_do0p1_s42_knn0a_tw0p7_tm0p2,concat,64,0.5,embedding,0.0005,0.0001,256,2,0.1,0.7,0.2,42,0,all,768,22,32,0.6257533885664859,0.43926021809053106,0.2203818725557856,0.4030579138789377,0.30087210023750827,0.12008676624726136,0.27096753527049205,0.5625019105739151,0.3198687398192576,0.522335247981049,0.21887834553474547
concat_embed64_drop0p5_embedding_lr0p0005_h256_l2_do0p1_s1_knn0a_tw0p3_tm0p2,concat,64,0.5,embedding,0.0005,0.0001,256,2,0.1,0.3,0.2,1,0,all,768,24,34,1.159695196959932,0.42845375382442946,0.21877156659765357,0.39366278974661,0.3167008034447158,0.1281935952216721,0.28545766823693997,0.5569832220534242,0.31068664786898353,0.5161514648115537,0.2096821872267759
concat_embed64_drop0p5_embedding_lr0p0005_h256_l2_do0p1_s42_knn0a_tw0p3_tm0p2,concat,64,0.5,embedding,0.0005,0.0001,256,2,0.1,0.3,0.2,42,0,all,768,22,32,1.1643700577827205,0.437044010355378,0.2153209109730849,0.40014068148729814,0.31515817150581177,0.12765128830736555,0.2839550302469421,0.5620978812691442,0.3119314894662696,0.5204980757358378,0.2217230993822931
concat_embed64_drop0p5_embedding_lr0p0005_h256_l2_do0p1_s42_knn0a_tw0p5_tm0p2,concat,64,0.5,embedding,0.0005,0.0001,256,2,0.1,0.5,0.2,42,0,all,768,10,20,0.8975365617872649,0.42460971208911913,0.21532091097308484,0.38976951137720645,0.3074410022052589,0.13345004382696965,0.27848034218702467,0.5517393915546853,0.3262033211377047,0.5142259899718574,0.2092888011160343
concat_embed64_drop0p5_embedding_lr0p0005_h256_l2_do0p1_s123_knn0a_tw0p5_tm0p2,concat,64,0.5,embedding,0.0005,0.0001,256,2,0.1,0.5,0.2,123,0,all,768,19,29,0.9007739430439347,0.43216050835490744,0.21256038647342992,0.3957239371186473,0.31963545951322636,0.13459417949928576,0.28896741590505653,0.561081866286539,0.3138939067023485,0.5201021062635676,0.2196001218814775
concat_embed64_drop0p5_embedding_lr0p0005_h256_l2_do0p1_s1_knn0a_tw0p7_tm0p2,concat,64,0.5,embedding,0.0005,0.0001,256,2,0.1,0.7,0.2,1,0,all,768,20,30,0.6230340797694736,0.437593159174708,0.21233034276512538,0.4001025120915196,0.3120039129143899,0.12912820270258163,0.2815690075985623,0.5592279239104394,0.30481463355441835,0.5169234629318668,0.2252628164095826
concat_embed64_drop0p5_embedding_lr0p0005_h256_l2_do0p1_s1_knn0a_tw0p5_tm0p2,concat,64,0.5,embedding,0.0005,0.0001,256,2,0.1,0.5,0.2,1,0,all,768,24,34,0.8912529482570636,0.43769122146387407,0.20979986197377498,0.3997644403003389,0.3111390260744484,0.1278068641688909,0.28062855839570255,0.5619539605892727,0.301762809015201,0.5186913684988034,0.2278913594900991
concat_embed64_drop0p5_embedding_lr0p0005_h256_l2_do0p1_s1_knn0a,concat,64,0.5,embedding,0.0005,0.0001,256,2,0.1,0.0,0.2,1,0,all,768,18,28,1.5677061767901403,0.43047383698125075,0.2070393374741201,0.39328654855965073,0.32143795806150827,0.13807184218513355,0.2910144847402793,0.556006420835708,0.3176618529653193,0.516402472725758,0.22343449950713065
concat_embed64_drop0p5_embedding_lr0p0005_h256_l2_do0p1_s123_knn0a_tw0p3_tm0p2,concat,64,0.5,embedding,0.0005,0.0001,256,2,0.1,0.3,0.2,123,0,all,768,14,24,1.171385445618815,0.4317094218247433,0.20519898780768345,0.3941262752667771,0.320757360699059,0.1384307542698852,0.29050520907593397,0.5589550321318706,0.307759750500174,0.5172761173163056,0.22651043401705986
concat_embed64_drop0p5_embedding_lr0p0005_h256_l2_do0p1_s42_knn0a,concat,64,0.5,embedding,0.0005,0.0001,256,2,0.1,0.0,0.2,42,0,all,768,15,25,1.5662471099670907,0.4368086608613794,0.20473890039107429,0.3983030977191064,0.3120771230584582,0.14379881432965164,0.28416172941918727,0.5607005118419299,0.3060236776418779,0.5184496722451345,0.23206976047030514
concat_embed64_drop0p5_embedding_lr0p0005_h256_l2_do0p1_s42_knn0a_tw1p0_tm0p2,concat,64,0.5,embedding,0.0005,0.0001,256,2,0.1,1.0,0.2,42,0,all,768,7,17,0.19858947823586073,0.4158233309798385,0.20473890039107429,0.38057068699459645,0.2781210701436199,0.10747973923060167,0.2497744787053529,0.5448577885308199,0.3170842521872974,0.5068822285151602,0.2110844305887642
