run_name,features,entity_embed_dim,ci_dropout_rate,ci_dropout_mode,lr,weight_decay,hidden_dim,num_layers,dropout,triplet_weight,triplet_margin,seed,knn_edges,knn_scope,input_dim,best_epoch,epochs_trained,best_val_loss,seen_ndcg1,unseen_ndcg1,all_ndcg1,seen_map,unseen_map,all_map,seen_mrr,unseen_mrr,all_mrr,seen_unseen_gap
concat_embed64_drop0p5_embedding_lr0p0005_h256_l2_do0p2_s7_knn0a_tw1p0_tm1p5_ag,concat,64,0.5,embedding,0.0005,0.0001,256,2,0.2,1.0,1.5,7,0,all,768,3,13,1.4851962250413777,0.9183925629559931,0.7987117552334945,0.8985348404791923,0.5344703118760542,0.3946559237382984,0.5112719781520638,0.9723645629685216,0.8046401343851629,0.9445353293698399,0.11968080772249867
concat_embed64_drop0p5_embedding_lr0p0005_h256_l2_do0p2_s123_knn0a_tw1p0_tm0p5_ag,concat,64,0.5,embedding,0.0005,0.0001,256,2,0.2,1.0,0.5,123,0,all,768,1,11,0.4840199553769933,0.9241782380167912,0.7971014492753623,0.9030933568893057,0.6086145469192025,0.5191094049151553,0.5937636422170537,0.974419350435257,0.8027451683213398,0.9459347643957442,0.12707678874142891
concat_embed64_drop0p5_embedding_lr0p0005_h256_l2_do0p2_s42_knn0a_tw1p0_tm0p3_ag,concat,64,0.5,embedding,0.0005,0.0001,256,2,0.2,1.0,0.3,42,0,all,768,4,14,0.2948400253174887,0.919137836353655,0.7971014492753623,0.8988892705828492,0.5100793728910327,0.36681451747984195,0.4863085294820305,0.9714369961860551,0.8041988440233705,0.9436884467203812,0.12203638707829267
concat_embed64_drop0p5_embedding_lr0p0005_h256_l2_do0p2_s123_knn0a_tw1p0_tm0p3_ag,concat,64,0.5,embedding,0.0005,0.0001,256,2,0.2,1.0,0.3,123,0,all,768,5,15,0.296477445565502,0.9202949713658147,0.7968714055670578,0.8998162416231833,0.4963113407553783,0.38463032819297344,0.4777809631986481,0.9711511463565061,0.8054205537143452,0.9436527347295174,0.1234235657987569
concat_embed64_drop0p5_embedding_lr0p0005_h256_l2_do0p2_s123_knn0a_tw1p0_tm0p7_ag,concat,64,0.5,embedding,0.0005,0.0001,256,2,0.2,1.0,0.7,123,0,all,768,2,12,0.6594029657894245,0.9231976151251309,0.7966413618587534,0.9021991024739248,0.5585441215027647,0.4390608626575924,0.5387191768025867,0.9745736158220515,0.8030619848821569,0.9461160006575139,0.12655625326637743
concat_embed64_drop0p5_embedding_lr0p0005_h256_l2_do0p2_s123_knn0a_tw1p0_tm1_ag,concat,64,0.5,embedding,0.0005,0.0001,256,2,0.2,1.0,1.0,123,0,all,768,2,12,0.9646397992606781,0.9241390131011251,0.7961812744421443,0.9029079626812391,0.5525822091677022,0.43931240679603306,0.5337882158507953,0.9752484798972056,0.803769554475273,0.9467962913095062,0.12795773865898086
concat_embed64_drop0p5_embedding_lr0p0005_h256_l2_do0p2_s42_knn0a_tw1p0_tm0p7_ag,concat,64,0.5,embedding,0.0005,0.0001,256,2,0.2,1.0,0.7,42,0,all,768,2,12,0.7430775179209864,0.9268063073664424,0.7954911433172304,0.9050181849907056,0.5816964375360668,0.42787843761395344,0.5561745914479937,0.9761112972088849,0.8025530839461241,0.9473141082683443,0.13131516404921206
concat_embed64_drop0p5_embedding_lr0p0005_h256_l2_do0p2_s42_knn0a_tw1p0_tm1_ag,concat,64,0.5,embedding,0.0005,0.0001,256,2,0.2,1.0,1.0,42,0,all,768,2,12,1.047231264361208,0.9273750686436057,0.7943409247757075,0.9053017290736313,0.5822736577933016,0.42804404777529437,0.5566835163852982,0.9765944601322659,0.8021930083453034,0.9476573590628385,0.13303414386789825
concat_embed64_drop0p5_embedding_lr0p0005_h256_l2_do0p2_s42_knn0a_tw1p0_tm0p5_ag,concat,64,0.5,embedding,0.0005,0.0001,256,2,0.2,1.0,0.5,42,0,all,768,2,12,0.5398702821598323,0.9286106534870983,0.7934207499424891,0.9061796251765358,0.5675725732356253,0.41716908374880385,0.5426172707889971,0.9767999436876448,0.8010338577754014,0.9476364192989076,0.13518990354460914
concat_embed64_drop0p5_embedding_lr0p0005_h256_l2_do0p2_s42_knn0a_tw1p0_tm1p5_ag,concat,64,0.5,embedding,0.0005,0.0001,256,2,0.2,1.0,1.5,42,0,all,768,2,12,1.5428064951261031,0.9287087157762642,0.79296066252588,0.9061850779473614,0.5632615035360776,0.4321194598564302,0.5415021057012203,0.976558741190149,0.8018506484390996,0.94757076152723,0.1357480532503842
concat_embed64_drop0p5_embedding_lr0p0005_h256_l2_do0p2_s123_knn0a_tw1p0_tm1p5_ag,concat,64,0.5,embedding,0.0005,0.0001,256,2,0.2,1.0,1.5,123,0,all,768,2,12,1.46367054219318,0.9252961481132851,0.7925005751092709,0.9032623927848963,0.558372293613731,0.42705415657187507,0.5365836779520282,0.9751408462329985,0.8021488706624817,0.9464376087886291,0.13279557300401423
concat_embed64_drop0p5_embedding_lr0p0005_h256_l2_do0p2_s7_knn0a_tw1p0_tm0p5_ag,concat,64,0.5,embedding,0.0005,0.0001,256,2,0.2,1.0,0.5,7,0,all,768,4,14,0.4792624957589889,0.9179218639679956,0.7913503565677481,0.8969208203148455,0.49960266333757486,0.37124319669202477,0.47830495726069383,0.9710398554409245,0.8019062466785603,0.9429768073364169,0.12657150740024747
concat_embed64_drop0p5_embedding_lr0p0005_h256_l2_do0p2_s7_knn0a_tw1p0_tm0p3_ag,concat,64,0.5,embedding,0.0005,0.0001,256,2,0.2,1.0,0.3,7,0,all,768,6,16,0.2955695395752535,0.9168824037028351,0.7913503565677479,0.8960538297535917,0.475320256159521,0.3494554636460695,0.45443647231067286,0.9705828882763909,0.8015698760065457,0.9425398498269457,0.12553204713508725
concat_embed64_drop0p5_embedding_lr0p0005_h256_l2_do0p2_s7_knn0a_tw1p0_tm0p7_ag,concat,64,0.5,embedding,0.0005,0.0001,256,2,0.2,1.0,0.7,7,0,all,768,6,16,0.6948438504667278,0.9184906252451589,0.7897400506096159,0.897128025606214,0.4751777895623921,0.3316612202284941,0.4513651811844213,0.9705492787667873,0.8029464709641746,0.9427402247754915,0.12875057463554296
concat_embed64_drop0p5_embedding_lr0p0005_h256_l2_do0p2_s7_knn0a_tw1p0_tm1_ag,concat,64,0.5,embedding,0.0005,0.0001,256,2,0.2,1.0,1.0,7,0,all,768,6,16,0.9907665060465346,0.9189417117753228,0.7895100069013112,0.897466097397395,0.48547366048380425,0.3388357613286158,0.4611431536847812,0.9716619799796987,0.8002191536352062,0.9432157810362466,0.12943170487401157
