run_name,features,entity_embed_dim,ci_dropout_rate,ci_dropout_mode,lr,weight_decay,hidden_dim,num_layers,dropout,triplet_weight,triplet_margin,seed,knn_edges,knn_scope,input_dim,best_epoch,epochs_trained,best_val_loss,seen_ndcg1,unseen_ndcg1,all_ndcg1,seen_map,unseen_map,all_map,seen_mrr,unseen_mrr,all_mrr,seen_unseen_gap
concat_embed64_drop0p5_embedding_lr0p0005_h256_l2_do0p2_s42_knn0a_tw1p0_tm0p3_ag,concat,64,0.5,embedding,0.0005,0.0001,256,2,0.2,1.0,0.3,42,0,all,768,1,11,0.34163767140336504,0.9327292696320738,0.7975615366919714,0.9103019199206104,0.6309632596126605,0.49065466873845043,0.6076829266026147,0.9790008373369274,0.8035717340091997,0.9498932258950544,0.13516773294010243
concat_embed64_drop0p5_embedding_lr0p0005_h256_l2_do0p2_s123_knn0a_tw1p0_tm0p3_ag,concat,64,0.5,embedding,0.0005,0.0001,256,2,0.2,1.0,0.3,123,0,all,768,5,15,0.28569950782482745,0.9190201616066558,0.7904301817345296,0.8976842082304148,0.48245371568126055,0.37319665792821677,0.4643255264353931,0.9705008418652158,0.7990488795921364,0.9420531270669001,0.12858997987212617
concat_embed64_drop0p5_embedding_lr0p0005_h256_l2_do0p2_s7_knn0a_tw1p0_tm0p3_ag,concat,64,0.5,embedding,0.0005,0.0001,256,2,0.2,1.0,0.3,7,0,all,768,9,19,0.30070623243504907,0.9189809366909892,0.7853692201518289,0.8968117648983353,0.44641772324578916,0.313406079521858,0.4243481169528799,0.970451537199557,0.7985513983889676,0.9419294598908952,0.13361171653916037
concat_embed64_drop0p5_embedding_lr0p0005_h256_l2_do0p2_s123_knn0a_tw0p3_tm0p3_ag,concat,64,0.5,embedding,0.0005,0.0001,256,2,0.2,0.3,0.3,123,0,all,768,8,18,1.1003849516753696,0.9190789989801555,0.7527030135725788,0.8914735022601759,0.46160059637785267,0.2913925113705401,0.4333592686353133,0.9652846823620888,0.7755435534001556,0.933802385801246,0.1663759854075767
concat_embed64_drop0p5_embedding_lr0p0005_h256_l2_do0p2_s123_knn0a_tw0p5_tm0p3_ag,concat,64,0.5,embedding,0.0005,0.0001,256,2,0.2,0.5,0.3,123,0,all,768,8,18,0.8679533458007239,0.9170393033655007,0.7520128824476651,0.8896577295752857,0.4545293834980702,0.2934291523917846,0.4277992524007373,0.9652858214823271,0.7738779753086507,0.9335269792625108,0.1650264209178356
concat_embed64_drop0p5_embedding_lr0p0005_h256_l2_do0p2_s123_knn0a_ag,concat,64,0.5,embedding,0.0005,0.0001,256,2,0.2,0.0,0.3,123,0,all,768,8,18,1.4334105518614542,0.9198438848356509,0.7515527950310561,0.8919206294678668,0.4683138935128999,0.29879464565188363,0.4401868592577055,0.9659307168318135,0.7742439138989586,0.9341255894472141,0.16829108980459484
concat_embed64_drop0p5_embedding_lr0p0005_h256_l2_do0p2_s42_knn0a_ag,concat,64,0.5,embedding,0.0005,0.0001,256,2,0.2,0.0,0.3,42,0,all,768,10,20,1.4141560276877263,0.9219816427394715,0.749482401656315,0.8933601609657972,0.47320315008734265,0.2900114271534826,0.44280754645386466,0.9681020123786346,0.7747865783978193,0.9360266586813712,0.1724992410831565
concat_embed64_drop0p5_embedding_lr0p0005_h256_l2_do0p2_s123_knn0a_tw0p7_tm0p3_ag,concat,64,0.5,embedding,0.0005,0.0001,256,2,0.2,0.7,0.3,123,0,all,768,9,19,0.6524854960705893,0.9163920922570042,0.7444214400736142,0.887858315202872,0.44391637481209156,0.28634099678645947,0.4177710956687112,0.9654809736188213,0.7744092462287784,0.9337779010219849,0.17197065218339003
concat_embed64_drop0p5_embedding_lr0p0005_h256_l2_do0p2_s42_knn0a_tw0p5_tm0p3_ag,concat,64,0.5,embedding,0.0005,0.0001,256,2,0.2,0.5,0.3,42,0,all,768,11,21,0.850218261620674,0.9195693104259857,0.7425810904071778,0.8902030066578354,0.4408976871970163,0.2852815269286712,0.4150774860944362,0.9655288637603511,0.7730032106636164,0.9335845523739812,0.17698822001880787
concat_embed64_drop0p5_embedding_lr0p0005_h256_l2_do0p2_s7_knn0a_tw0p7_tm0p3_ag,concat,64,0.5,embedding,0.0005,0.0001,256,2,0.2,0.7,0.3,7,0,all,768,9,19,0.644155059366449,0.921334431630975,0.7423510466988732,0.8916370853849404,0.44194016401523495,0.2755727396975336,0.41433608777152153,0.9674923286784803,0.7696641871487077,0.93466821587914,0.17898338493210175
