run_name,features,entity_embed_dim,ci_dropout_rate,ci_dropout_mode,lr,weight_decay,hidden_dim,num_layers,dropout,seed,knn_edges,knn_scope,input_dim,best_epoch,epochs_trained,best_val_loss,seen_ndcg1,unseen_ndcg1,all_ndcg1,seen_map,unseen_map,all_map,seen_mrr,unseen_mrr,all_mrr,seen_unseen_gap
concat_embed64_drop0p5_embedding_lr0p0005_wd0p0001_h128_l2_do0p3_s123_knn0a,concat,64,0.5,embedding,0.0005,0.0001,128,2,0.3,123,0,all,768,28,38,1.54937516512589,0.6907965272874939,0.147688060731539,0.6006826869073766,0.620494679676646,0.11083270304913642,0.5359303599545273,0.9657247335360796,0.19849350154582837,0.8384239142123795,0.5431084665559549
concat_embed64_drop0p5_embedding_lr0p0005_wd0p0001_h128_l2_do0p3_s1_knn0a,concat,64,0.5,embedding,0.0005,0.0001,128,2,0.3,1,0,all,768,29,39,1.547260110770351,0.6897439920504452,0.14492753623188406,0.5993467580551304,0.6175738856434173,0.11448824592074153,0.5341007272833855,0.9652834190593225,0.198097561776376,0.8379901284142991,0.5448164558185612
categorical_embed64_drop0p5_embedding_lr0p0005_wd0p0001_h128_l2_do0p3_s123_knn0a,categorical,64,0.5,embedding,0.0005,0.0001,128,2,0.3,123,0,all,384,32,42,1.6575800239411833,0.6514996992756772,0.14423740510697033,0.5673335405386513,0.6529216388414124,0.11187804936362603,0.563150407746335,0.9612701014660323,0.1974945872818682,0.8345426630081307,0.5072622941687068
concat_embed64_drop0p5_embedding_lr0p0005_wd0p0001_h128_l2_do0p3_s42_knn0a,concat,64,0.5,embedding,0.0005,0.0001,128,2,0.3,42,0,all,768,32,42,1.548932960750966,0.6877958212390128,0.14285714285714285,0.5973783077871277,0.6097693352572073,0.1096183227804816,0.5267830971856654,0.9638301501096808,0.19207649415001782,0.8357789595124574,0.5449386783818699
concat_embed64_drop0p5_embedding_lr0p0005_wd0p0001_h128_l2_do0p3_s2_knn0a,concat,64,0.5,embedding,0.0005,0.0001,128,2,0.3,2,0,all,768,32,42,1.5444362309893171,0.6925943359222063,0.14009661835748793,0.600922608823699,0.61924491792061,0.1142148573710429,0.5354491366614411,0.9646577549792819,0.19459720938633918,0.8368874892556847,0.5524977175647183
text_embed64_drop0p5_embedding_lr0p0005_wd0p0001_h128_l2_do0p3_s42_knn0a,text,64,0.5,embedding,0.0005,0.0001,128,2,0.3,42,0,all,384,34,44,1.545325415319005,0.680558824298556,0.13871635610766045,0.5906550413592916,0.5688279395620295,0.11074353355795008,0.49282149225870747,0.9592179610279628,0.18821171975619305,0.831290783242231,0.5418424681908955
text_embed64_drop0p5_embedding_lr0p0005_wd0p0001_h128_l2_do0p3_s123_knn0a,text,64,0.5,embedding,0.0005,0.0001,128,2,0.3,123,0,all,384,39,49,1.537024069149124,0.6875539342590686,0.13802622498274672,0.5963749979552349,0.5595612881141846,0.1113891984159305,0.48519951575957904,0.9563035452070106,0.1925173812243236,0.8295743397093678,0.5495277092763219
text_embed64_drop0p5_embedding_lr0p0005_wd0p0001_h128_l2_do0p3_s2_knn0a,text,64,0.5,embedding,0.0005,0.0001,128,2,0.3,2,0,all,384,26,36,1.5353418032182666,0.6833111058811497,0.13802622498274672,0.5928361496894893,0.5712584110658233,0.11061558954209315,0.4948274654127962,0.955193629348178,0.1914395828832984,0.828469752864998,0.545284880898403
text_embed64_drop0p5_embedding_lr0p0005_wd0p0001_h128_l2_do0p3_s1_knn0a,text,64,0.5,embedding,0.0005,0.0001,128,2,0.3,1,0,all,384,29,39,1.5311960209633744,0.6786368034309005,0.13388543823326432,0.5882503694252484,0.5797878783975632,0.11466202852484854,0.5026130980854638,0.9558265754700332,0.19078270894039911,0.8288886889932854,0.5447513651976361
categorical_embed64_drop0p5_embedding_lr0p0005_wd0p0001_h128_l2_do0p3_s1_knn0a,categorical,64,0.5,embedding,0.0005,0.0001,128,2,0.3,1,0,all,384,12,22,1.6637621261196511,0.6574880364007507,0.13112491373360938,0.570152623055431,0.6217181847268356,0.10743949895664538,0.5363878497124069,0.9553594667830732,0.18720000204555948,0.8279046328881163,0.5263631226671414
