run_name,features,entity_embed_dim,ci_dropout_rate,ci_dropout_mode,lr,weight_decay,hidden_dim,num_layers,dropout,seed,knn_edges,knn_scope,input_dim,best_epoch,epochs_trained,best_val_loss,seen_ndcg1,unseen_ndcg1,all_ndcg1,seen_map,unseen_map,all_map,seen_mrr,unseen_mrr,all_mrr,seen_unseen_gap
concat_embed64_drop0p5_embedding_lr0p0005_wd0p0001_h128_l2_do0p3_s1_knn5a,concat,64,0.5,embedding,0.0005,0.0001,128,2,0.3,1,5,all,768,31,41,1.50230021581593,0.6880834706205664,0.3596569062407575,0.6334592923394294,0.3957142608867593,0.2942434333430853,0.3788779702940671,0.9676983615360298,0.5032511300874949,0.8906361791967503,0.3284265643798089
concat_embed64_drop0p5_embedding_lr0p0005_wd0p0001_h128_l2_do0p3_s2_knn25a,concat,64,0.5,embedding,0.0005,0.0001,128,2,0.3,2,25,all,768,38,48,1.5178013984293115,0.6817747966842145,0.351375332741793,0.6269541367446142,0.3847699378791407,0.2732131825088034,0.36626017808882677,0.9666439734203461,0.5033331358315525,0.889770344236084,0.3303994639424215
concat_embed64_drop0p5_embedding_lr0p0005_wd0p0001_h128_l2_do0p3_s1_knn0a,concat,64,0.5,embedding,0.0005,0.0001,128,2,0.3,1,0,all,768,29,39,1.5435907544207257,0.6886849193274517,0.34210785763580853,0.6311146008844664,0.4026172191445404,0.2965525949788978,0.38501870832123203,0.9716871368102495,0.504746356483025,0.8942112189476424,0.34657706169164315
concat_embed64_drop0p5_embedding_lr0p0005_wd0p0001_h128_l2_do0p3_s2_knn5a,concat,64,0.5,embedding,0.0005,0.0001,128,2,0.3,2,5,all,768,36,46,1.5108218375444957,0.6896328547893896,0.3411219560287887,0.6317416695293977,0.3804311580858289,0.2840139415664851,0.36443338481861537,0.9664998124465192,0.4891336744122555,0.8872940945933588,0.34851089876060093
concat_embed64_drop0p5_embedding_lr0p0005_wd0p0001_h128_l2_do0p3_s123_knn5a,concat,64,0.5,embedding,0.0005,0.0001,128,2,0.3,123,5,all,768,35,45,1.514239429226175,0.6856972882508591,0.34053041506457693,0.6284263848674978,0.38893334436073956,0.28345707978559426,0.3714324745591019,0.9665411965721896,0.47813058278020454,0.8855029531982533,0.34516687318628214
concat_embed64_drop0p5_embedding_lr0p0005_wd0p0001_h128_l2_do0p3_s123_knn0a,concat,64,0.5,embedding,0.0005,0.0001,128,2,0.3,123,0,all,768,31,41,1.5477170221203793,0.6951439554405234,0.33954451345755726,0.6361420555855727,0.40156176698582585,0.2824948731300768,0.3818059054104498,0.9717004459781264,0.4775425352565014,0.8897085975141811,0.35559944198296617
concat_embed64_drop0p5_embedding_lr0p0005_wd0p0001_h128_l2_do0p3_s42_knn0a,concat,64,0.5,embedding,0.0005,0.0001,128,2,0.3,42,0,all,768,33,43,1.5502702152297632,0.6868609607489632,0.3339248742975454,0.6282355378886056,0.39073169582721756,0.2814757073803241,0.37260368220297035,0.9714303058720382,0.4883515043043171,0.8912767293838179,0.3529360864514178
concat_embed64_drop0p5_embedding_lr0p0005_wd0p0001_h128_l2_do0p3_s3_knn10a,concat,64,0.5,embedding,0.0005,0.0001,128,2,0.3,3,10,all,768,32,42,1.5048045830829286,0.6839190920739789,0.3332347431726317,0.6257327160797027,0.3819296550346681,0.27617897410955805,0.364383251543305,0.9651230502045407,0.4821797366741809,0.8849918131917633,0.35068434890134725
concat_embed64_drop0p5_embedding_lr0p0005_wd0p0001_h128_l2_do0p3_s3_knn0a,concat,64,0.5,embedding,0.0005,0.0001,128,2,0.3,3,0,all,768,31,41,1.5416863363268611,0.6900839413195544,0.329685497387361,0.6302857797189915,0.399768824135779,0.2819376490656542,0.3802180062918775,0.9711588380504554,0.47078975790421984,0.8881364176757965,0.3603984439321934
concat_embed64_drop0p5_embedding_lr0p0005_wd0p0001_h128_l2_do0p3_s42_knn5a,concat,64,0.5,embedding,0.0005,0.0001,128,2,0.3,42,5,all,768,38,48,1.5079641022160137,0.6912868387333246,0.3286995957803416,0.6311909396760231,0.3824400724300168,0.28079263829870676,0.3655744918092083,0.9698907815453766,0.4782431971181788,0.8883154523532306,0.36258724295298306
concat_embed64_drop0p5_embedding_lr0p0005_wd0p0001_h128_l2_do0p3_s1_knn10a,concat,64,0.5,embedding,0.0005,0.0001,128,2,0.3,1,10,all,768,41,51,1.5047674691846378,0.6876781464920141,0.32613625160209064,0.6276902608060564,0.384500633321985,0.287603542404826,0.3684232368199355,0.9677720094873865,0.4831600343163994,0.8873640452113348,0.36154189488992344
concat_embed64_drop0p5_embedding_lr0p0005_wd0p0001_h128_l2_do0p3_s3_knn5a,concat,64,0.5,embedding,0.0005,0.0001,128,2,0.3,3,5,all,768,37,47,1.4982455156835677,0.6856776757930239,0.3243616287094551,0.6257926965587828,0.38203672347436224,0.2753502860809645,0.364335057830829,0.9671240436991486,0.47330315509247617,0.8851881147410507,0.36131604708356874
concat_embed64_drop0p5_embedding_lr0p0005_wd0p0001_h128_l2_do0p3_s123_knn10a,concat,64,0.5,embedding,0.0005,0.0001,128,2,0.3,123,10,all,768,31,41,1.5156928636696816,0.6831542062184848,0.32337572710243545,0.6234589106454715,0.40045404917169664,0.28534757203960176,0.3813553084946348,0.9690100386390861,0.4712143962424233,0.8864146091380253,0.3597784791160493
concat_embed64_drop0p5_embedding_lr0p0005_wd0p0001_h128_l2_do0p3_s2_knn10a,concat,64,0.5,embedding,0.0005,0.0001,128,2,0.3,2,10,all,768,44,54,1.5063180607827606,0.6853965638974163,0.32209405501331023,0.6251165529764229,0.3774269462191113,0.27524625520835744,0.3604728855121981,0.9687461539935369,0.4767757295110031,0.8871172584163937,0.3633025088841061
concat_embed64_drop0p5_embedding_lr0p0005_wd0p0001_h128_l2_do0p3_s2_knn0a,concat,64,0.5,embedding,0.0005,0.0001,128,2,0.3,2,0,all,768,32,42,1.5385959069225366,0.69717057608329,0.3219954648526081,0.6354931758573391,0.3945445044203904,0.2919070739805105,0.37751529462471367,0.9717956612428637,0.4754221762924181,0.8898656051689836,0.3751751112306819
concat_embed64_drop0p5_embedding_lr0p0005_wd0p0001_h128_l2_do0p3_s3_knn25a,concat,64,0.5,embedding,0.0005,0.0001,128,2,0.3,3,25,all,768,45,55,1.51269237267769,0.6844159410057551,0.32110815340629056,0.6241350542278336,0.38159288105534944,0.25941934216203283,0.361321560491434,0.9700590358946416,0.4664386080578127,0.8864971442267651,0.3633077875994645
concat_embed64_drop0p5_embedding_lr0p0005_wd0p0001_h128_l2_do0p3_s42_knn25a,concat,64,0.5,embedding,0.0005,0.0001,128,2,0.3,42,25,all,768,35,45,1.5311952986085955,0.6708833451008376,0.3207137927634827,0.6127823853691543,0.3874646376266666,0.27377753835841107,0.3686014036506704,0.9660094084468479,0.48599474801296966,0.886364241497496,0.35016955233735486
concat_embed64_drop0p5_embedding_lr0p0005_wd0p0001_h128_l2_do0p3_s42_knn10a,concat,64,0.5,embedding,0.0005,0.0001,128,2,0.3,42,10,all,768,40,50,1.5073906439900453,0.6847951151905315,0.3190377600315494,0.6241077903737069,0.3821768520801636,0.27057684417191163,0.36365991820710836,0.9672133635881912,0.47974661458313445,0.8863317284904784,0.3657573551589821
concat_embed64_drop0p5_embedding_lr0p0005_wd0p0001_h128_l2_do0p3_s1_knn25a,concat,64,0.5,embedding,0.0005,0.0001,128,2,0.3,1,25,all,768,46,56,1.5254012890709576,0.6781464919850724,0.3091787439613533,0.6169264911965308,0.39076830389670497,0.27699221299399296,0.3718903077469777,0.9673008823776496,0.4700057239184609,0.8847884943543628,0.36896774802371907
concat_embed64_drop0p5_embedding_lr0p0005_wd0p0001_h128_l2_do0p3_s123_knn25a,concat,64,0.5,embedding,0.0005,0.0001,128,2,0.3,123,25,all,768,29,39,1.5271644365115828,0.669621610313565,0.30592526865818837,0.6092762537283593,0.3930212490630062,0.279653207655031,0.37421095743495075,0.9641741091220004,0.46783022302475064,0.8818195584572901,0.3636963416553767
